text,created_at,author/followers_count,author/screen_name
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348280,37,rianvdberg
"RT @BarackObama: ""You can only pick one winning team—I have 63 colleges mad at me."" — President Obama on #MarchMadness",1395348277,386,Gabriela_Temple
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348275,29,sndaygrl76
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348274,135,romainvincens
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348271,796,SSrb1098
"RT @BarackObama: ""You can only pick one winning team—I have 63 colleges mad at me."" — President Obama on #MarchMadness",1395348271,41,francescofatto3
"RT @BarackObama: ""No woman should have to put off potentially lifesaving care because money is tight."" —President Obama #WomenSucceed",1395348271,152,Vivacious_RosyV
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348270,36,Dotcy3
RT @LBLionne: @BarackObama Wow Mr. President. Are you that driven by yr own personal agenda? You haven't mentioned #RenewUI in weeks. So so…,1395348268,81,SantYahoo
"RT @BarackObama: ""We've got to build an economy that works for everybody, not just for a few."" — President Obama #OpportunityForAll",1395348265,25,PLQuevedo
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348264,183,M_Bibloos
RT @alienvzla76: HELP US! CARACAS SOS 20-03-15 @BarackObama @JohnKerry @RosLehtinen @marcorubio @tachirafuerte @ntn24 @cnneireport http://t…,1395348263,21,assiminovf
"RT @BarackObama: ""When women make less than men, that hurts their families."" —President Obama #WomenSucceed",1395348262,13,merllo37
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348260,5,VdSEline
"RT @BarackObama: ""We've got to build an economy that works for everybody, not just for a few."" — President Obama #OpportunityForAll",1395348257,33,AliSak03
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348256,69,iraremg
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348253,1275,myvexomaxet
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395348252,58,TheOnlyCalypso
"RT @BarackObama: ""We're calling this a year of action ... I'm not going to wait for Congress."" — President Obama",1395348251,41,francescofatto3
"RT @BarackObama: ""We've got to build an economy that works for everybody, not just for a few."" — President Obama #OpportunityForAll",1395348249,41,francescofatto3
RT @OU_Softball: The photo has finally arrived! What an amazing honor for the #Sooners to meet @BarackObama last week http://t.co/18PVVpo3lL,1395348248,3,soonerorlater70
"RT @BarackObama: President Obama: Today, more women are bread winners than ever before, but they are still making less than men. #WomenSucc…",1395348240,99,hermionestark
RT @TheHerd: The First Fan @BarackObama joins @ESPN_Colin for his Barack-etology and more LISTEN http://t.co/rygVING0nD http://t.co/H7cTAwN…,1395348240,51,MattHansen_5
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348239,29,dshaeffBK
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348239,11,haunun
"RT @BarackObama: ""You can only pick one winning team—I have 63 colleges mad at me."" — President Obama on #MarchMadness",1395348238,31,diazd10
"RT @BarackObama: ""We nag you because we love you."" —@MichelleObama on why mom wants you to #GetCoveredNow http://t.co/NhV4l820xm",1395348235,185,antoniomagi
"RT @cynthia4877: MT @MinnieBellW @TheDemocrats @EddieIsSteady @EnragedLib @BarackObama 🍃Minnie, now there U go spreading good news abt #ACA…",1395348180,1048,MinnieBellW
"MT @MinnieBellW @TheDemocrats @EddieIsSteady @EnragedLib @BarackObama 🍃Minnie, now there U go spreading good news abt #ACA. Keep it up, girl",1395348072,5035,cynthia4877
RT @ReneePrasek: MT @H8Crats: You were accountable! @BarackObama @HillaryClinton #JusticeForBenghazi4 http://t.co/l4Taa7PSD1 http://t.co/pN…,1395348063,3671,farmerfar55
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395347260,359,cissell
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395346855,277,AnthonyWelchLA
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395346651,2526,4danlopez
"RT @BarackObama: ""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds.…",1395346439,128,Mt_Smith34
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/so7Up0zlqz,1395346236,2081,choucair
